geo_code,time,CAGR,IndName,Direction,IndWeight,Agg_KC,Agg_NC,Agg_OBJ,X,X.1,X.2,X.3,X.4,CAGRcorrdir
EU27_2020,2017,2.61225611757079,1.1.a.1   I10,1,1,Availability,SupportFoodSec,Food,NA,NA,NA,NA,NA,2.61225611757079
EU27_2020,2017,0.393541041148504,1.1.a.4   1000 T of dry matter (Net trade),1,1,Availability,SupportFoodSec,Food,NA,NA,NA,NA,NA,0.393541041148504
EU27_2020,2017,-2.3448541970418,1.1.b.1   percent,-1,1,Access,SupportFoodSec,Food,NA,NA,NA,NA,NA,2.3448541970418
EU27_2020,2017,0.766593083049383,1.1.c.1   ANI,1,1,Utilisation,SupportFoodSec,Food,NA,NA,NA,NA,NA,0.766593083049383
EU27_2020,2017,0.0494799255544631,1.1.c.1   VEG,1,1,Utilisation,SupportFoodSec,Food,NA,NA,NA,NA,NA,0.0494799255544631
EU27_2020,2017,-1.04775396042071,2.1.a.1  BOD,-1,1,EnvQual,EcosysCap,Resources,NA,NA,NA,NA,NA,1.04775396042071
EU27_2020,2017,0.759564428919157,2.1.a.2  PO4_RIV,-1,1,EnvQual,EcosysCap,Resources,NA,NA,NA,NA,NA,-0.759564428919157
EU27_2020,2017,0.58406780233653,2.1.a.4  NO3_GW,-1,1,EnvQual,EcosysCap,Resources,NA,NA,NA,NA,NA,-0.58406780233653
EU27_2020,2017,-3.164884013,2.1.a.7  O3forests,-1,1,EnvQual,EcosysCap,Resources,NA,NA,NA,NA,NA,3.164884013
EU27_2020,2017,4.0928050696905,2.1.b.4   PC UAA,1,1,StructrEcosys,EcosysCap,Resources,NA,NA,NA,NA,NA,4.0928050696905
EU27_2020,2017,1.55295025386171,2.1.b.9   GS FOR,1,1,StructrEcosys,EcosysCap,Resources,NA,NA,NA,NA,NA,1.55295025386171
EU27_2020,2017,-0.498893090704355,2.1.b.9   GS OWL,1,1,StructrEcosys,EcosysCap,Resources,NA,NA,NA,NA,NA,-0.498893090704355
EU27_2020,2017,-0.361570282165091,2.1.d.1   CO FARM I00,1,1,SpcsDivers,EcosysCap,Resources,NA,NA,NA,NA,NA,-0.361570282165091
EU27_2020,2017,-0.32435157773919,2.1.d.1   CO FARM I90,1,1,SpcsDivers,EcosysCap,Resources,NA,NA,NA,NA,NA,-0.32435157773919
EU27_2020,2017,0.914920949444142,2.1.d.1   CO FOR I00,1,1,SpcsDivers,EcosysCap,Resources,NA,NA,NA,NA,NA,0.914920949444142
EU27_2020,2017,0.916428456020335,2.1.d.1   CO FOR I90,1,1,SpcsDivers,EcosysCap,Resources,NA,NA,NA,NA,NA,0.916428456020335
EU27_2020,2017,0.440578660808999,2.1.d.1   SME I00,1,1,SpcsDivers,EcosysCap,Resources,NA,NA,NA,NA,NA,0.440578660808999
EU27_2020,2017,0.44024661343447,2.1.d.1   SME I90,1,1,SpcsDivers,EcosysCap,Resources,NA,NA,NA,NA,NA,0.44024661343447
EU27_2020,2017,14.7274245798406,2.1.e.1   MPA KM2,1,1,Conservation,EcosysCap,Resources,NA,NA,NA,NA,NA,14.7274245798406
EU27_2020,2017,0.0399276237970314,2.1.e.1   TPA KM2,1,1,Conservation,EcosysCap,Resources,NA,NA,NA,NA,NA,0.0399276237970314
EU27_2020,2017,1.00352792038187,2.2.a.1 fellings,-1,1,Forestry,PPsysMgmt,Resources,NA,NA,NA,NA,NA,-1.00352792038187
EU27_2020,2017,-1.01896210820096,2.2.b.2  exploitation,-1,1,Fisheries,PPsysMgmt,Resources,NA,NA,NA,NA,NA,1.01896210820096
EU27_2020,2017,0.41930866792359,2.2.d.5   HIGH INP,-1,1,AgroEcol,PPsysMgmt,Resources,NA,NA,NA,NA,NA,-0.41930866792359
EU27_2020,2017,-2.26681502215835,2.2.d.5   LOW INP,1,1,AgroEcol,PPsysMgmt,Resources,NA,NA,NA,NA,NA,-2.26681502215835
EU27_2020,2017,-2.39606499357289,2.2.d.5   MED INP,-1,1,AgroEcol,PPsysMgmt,Resources,NA,NA,NA,NA,NA,2.39606499357289
EU27_2020,2017,1.22933774075122,3.1.a.1   MF1,-1,1,MatResEff,WasteReduc,Defossilization,NA,NA,NA,NA,NA,-1.22933774075122
